SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-JUL-1995,10,1,INE164A01016,10
BALPHARMA,Bal Pharma Limited,EQ,08-MAY-2006,10,1,INE083D01012,10
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-FEB-1995,1,1,INE119A01028,1
BANARBEADS,Banaras Beads Limited,EQ,07-JUL-1995,10,1,INE655B01011,10
BANARISUG,Bannari Amman Sugars Limited,EQ,28-MAY-2003,10,1,INE459A01010,10
BANCOINDIA,Banco Products (I) Limited,EQ,22-DEC-2006,2,1,INE213C01025,2
BANDHANBNK,Bandhan Bank Limited,EQ,27-MAR-2018,10,1,INE545U01014,10
BANG,Bang Overseas Limited,BE,20-FEB-2008,10,1,INE863I01016,10
BANKA,Banka BioLoo Limited,BE,29-OCT-2020,10,1,INE862Y01015,10
BANKBARODA,Bank of Baroda,EQ,19-FEB-1997,2,1,INE028A01039,2
BANKINDIA,Bank of India,EQ,30-APR-1997,10,1,INE084A01016,10
BANSWRAS,Banswara Syntex Limited,EQ,11-APR-2007,5,1,INE629D01020,5
BARBEQUE,Barbeque Nation Hospitality Limited,EQ,07-APR-2021,5,1,INE382M01027,5
BASF,BASF India Limited,EQ,17-MAY-1995,10,1,INE373A01013,10
BASML,Bannari Amman Spinning Mills Limited,EQ,14-NOV-2005,5,1,INE186H01022,5
BATAINDIA,Bata India Limited,EQ,18-JUN-2003,5,1,INE176A01028,5
BAYERCROP,Bayer Cropscience Limited,EQ,08-JAN-2010,10,1,INE462A01022,10
BBL,Bharat Bijlee Limited,EQ,21-NOV-2006,10,1,INE464A01028,10
BBOX,Black Box Limited,EQ,22-JUL-2003,2,1,INE676A01027,2
BBTC,Bombay Burmah Trading Corporation Limited,EQ,03-APR-1996,2,1,INE050A01025,2
BBTCL,B&B Triplewall Containers Limited,EQ,23-NOV-2022,10,1,INE01EE01011,10
BCG,Brightcom Group Limited,EQ,08-MAY-2015,2,1,INE425B01027,2
BCLIND,Bcl Industries Limited,EQ,04-MAR-2021,1,1,INE412G01024,1
BCONCEPTS,Brand Concepts Limited,BE,11-JAN-2022,10,1,INE977Y01011,10
BDL,Bharat Dynamics Limited,EQ,23-MAR-2018,10,1,INE171Z01018,10
BEARDSELL,Beardsell Limited,EQ,13-JAN-2015,2,1,INE520H01022,2
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,24-DEC-2020,10,1,INE495P01012,10
BEDMUTHA,Bedmutha Industries Limited,BE,14-OCT-2010,10,1,INE844K01012,10
BEL,Bharat Electronics Limited,EQ,19-JUL-2000,1,1,INE263A01024,1
BEML,BEML Limited,EQ,05-NOV-2003,10,1,INE258A01016,10
BEPL,Bhansali Engineering Polymers Limited,EQ,21-MAR-2005,1,1,INE922A01025,1
BERGEPAINT,Berger Paints (I) Limited,EQ,24-NOV-1999,1,1,INE463A01038,1
BESTAGRO,Best Agrolife Limited,EQ,10-APR-2024,10,1,INE052T01013,10
BFINVEST,BF Investment Limited,EQ,14-JAN-2011,5,1,INE878K01010,5
BFUTILITIE,BF Utilities Limited,EQ,03-MAY-2007,5,1,INE243D01012,5
BGRENERGY,BGR Energy Systems Limited,BE,03-JAN-2008,10,1,INE661I01014,10
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,18-OCT-2021,10,1,INE414D01019,10
BHAGERIA,Bhageria Industries Limited,EQ,02-MAR-2016,5,1,INE354C01027,5
BHAGYANGR,Bhagyanagar India Limited,EQ,17-MAY-2017,2,1,INE458B01036,2
BHANDARI,Bhandari Hosiery Exports Limited,EQ,30-JAN-2017,1,1,INE474E01029,1
BHARATFORG,Bharat Forge Limited,EQ,04-APR-2003,2,1,INE465A01025,2
BHARATGEAR,Bharat Gears Limited,EQ,03-APR-1996,10,1,INE561C01019,10
BHARATRAS,Bharat Rasayan Limited,EQ,11-OCT-1995,10,1,INE838B01013,10
BHARATWIRE,Bharat Wire Ropes Limited,BE,01-APR-2016,10,1,INE316L01019,10
BHARTIARTL,Bharti Airtel Limited,EQ,15-FEB-2002,5,1,INE397D01024,5
BHARTIHEXA,Bharti Hexacom Limited,EQ,12-APR-2024,5,1,INE343G01021,5
BHEL,Bharat Heavy Electricals Limited,EQ,11-NOV-2003,2,1,INE257A01026,2
BIGBLOC,Bigbloc Construction Limited,EQ,02-SEP-2016,2,1,INE412U01025,2
BIKAJI,Bikaji Foods International Limited,EQ,16-NOV-2022,1,1,INE00E101023,1
BIL,Bhartiya International Limited,EQ,12-APR-2000,10,1,INE828A01016,10
BINANIIND,Binani Industries Limited,BE,27-SEP-2006,10,1,INE071A01013,10
BIOCON,Biocon Limited,EQ,07-APR-2004,5,1,INE376G01013,5
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,12-JUN-1996,10,1,INE829A01014,10
BIRLACABLE,Birla Cable Limited,EQ,06-DEC-1995,10,1,INE800A01015,10
BIRLACORPN,Birla Corporation Limited,EQ,12-APR-1995,10,1,INE340A01012,10
BIRLAMONEY,Aditya Birla Money Limited,BE,07-FEB-2008,1,1,INE865C01022,1
BKMINDST,Bkm Industries Limited,BZ,30-MAR-2015,1,1,INE831Q01016,1
BLAL,BEML Land Assets Limited,EQ,19-APR-2023,10,1,INE0N7W01012,10
BLBLIMITED,BLB Limited,BE,31-MAY-2000,1,1,INE791A01024,1
BLISSGVS,Bliss GVS Pharma Limited,EQ,26-JUL-2010,1,1,INE416D01022,1
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-MAR-2006,1,1,INE350H01032,1
BLS,BLS International Services Limited,EQ,14-JUN-2016,1,1,INE153T01027,1
BLSE,BLS E-Services Limited,EQ,06-FEB-2024,10,1,INE0NLT01010,10
BLUECHIP,Blue Chip India Limited,BE,12-MAR-1997,2,1,INE657B01025,2
BLUEDART,Blue Dart Express Limited,EQ,12-DEC-2002,10,1,INE233B01017,10
BLUEJET,Blue Jet Healthcare Limited,EQ,01-NOV-2023,2,1,INE0KBH01020,2
BLUESTARCO,Blue Star Limited,EQ,15-JUN-2000,2,1,INE472A01039,2
BODALCHEM,Bodal Chemicals Limited,EQ,22-AUG-2011,2,1,INE338D01028,2
BOHRAIND,Bohra Industries Limited,BE,27-OCT-2022,10,1,INE802W01023,10
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-APR-1995,2,1,INE032A01023,2
BOROLTD,Borosil Limited,EQ,22-JUL-2020,1,1,INE02PY01013,1
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,25-MAY-2018,1,1,INE666D01022,1
BOSCHLTD,Bosch Limited,EQ,12-MAY-2003,10,1,INE323A01026,10
BPCL,Bharat Petroleum Corporation Limited,EQ,13-SEP-1995,10,1,INE029A01011,10
BPL,BPL Limited,EQ,14-JUN-1995,10,1,INE110A01019,10
BRIGADE,Brigade Enterprises Limited,EQ,31-DEC-2007,10,1,INE791I01019,10
BRITANNIA,Britannia Industries Limited,EQ,05-NOV-1998,1,1,INE216A01030,1
BRNL,Bharat Road Network Limited,BE,18-SEP-2017,10,1,INE727S01012,10
BROOKS,Brooks Laboratories Limited,BE,05-SEP-2011,10,1,INE650L01011,10
BSE,BSE Limited,EQ,03-FEB-2017,2,1,INE118H01025,2
BSHSL,Bombay Super Hybrid Seeds Limited,EQ,28-OCT-2020,1,1,INE032Z01020,1
BSL,BSL Limited,EQ,27-JUL-1995,10,1,INE594B01012,10
BSOFT,BIRLASOFT LIMITED,EQ,24-NOV-1999,2,1,INE836A01035,2
BTML,Bodhi Tree Multimedia Limited,EQ,15-FEB-2023,1,1,INE0EEJ01023,1
BURNPUR,Burnpur Cement Limited,EQ,03-JAN-2008,10,1,INE817H01014,10
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,28-APR-2014,10,1,INE295F01017,10
BVCL,Barak Valley Cements Limited,BE,23-NOV-2007,10,1,INE139I01011,10
BYKE,The Byke Hospitality Ltd,EQ,15-APR-2015,10,1,INE319B01014,10
CALSOFT,California Software Company Limited,EQ,28-JUN-2000,10,1,INE526B01014,10
CAMLINFINE,Camlin Fine Sciences Limited,EQ,20-JAN-2015,1,1,INE052I01032,1
CAMPUS,Campus Activewear Limited,EQ,09-MAY-2022,5,1,INE278Y01022,5
CAMS,Computer Age Management Services Limited,EQ,07-MAY-2021,10,1,INE596I01012,10
CANBK,Canara Bank,EQ,23-DEC-2002,10,1,INE476A01014,10
CANFINHOME,Can Fin Homes Limited,EQ,10-MAY-1995,2,1,INE477A01020,2
CANTABIL,Cantabil Retail India Limited,EQ,12-OCT-2010,2,1,INE068L01024,2
CAPACITE,Capacit'e Infraprojects Limited,EQ,25-SEP-2017,10,1,INE264T01014,10
CAPITALSFB,Capital Small Finance Bank Limited,EQ,14-FEB-2024,10,1,INE646H01017,10
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,23-JUN-2014,2,1,INE475E01026,2
CAPTRUST,Capital Trust Limited,EQ,16-JAN-2017,10,1,INE707C01018,10
CARBORUNIV,Carborundum Universal Limited,EQ,03-APR-1996,1,1,INE120A01034,1
CAREERP,Career Point Limited,BE,06-OCT-2010,10,1,INE521J01018,10
CARERATING,CARE Ratings Limited,EQ,26-DEC-2012,10,1,INE752H01013,10
CARTRADE,Cartrade Tech Limited,EQ,20-AUG-2021,10,1,INE290S01011,10
CARYSIL,CARYSIL LIMITED,EQ,14-JAN-2021,2,1,INE482D01024,2
