SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
VALIANTLAB,Valiant Laboratories Limited,EQ,06-OCT-2023,10,1,INE0JWS01017,10
VALIANTORG,Valiant Organics Limited,EQ,23-JUL-2021,10,1,INE565V01010,10
VARDHACRLC,Vardhman Acrylics Limited,EQ,30-SEP-2003,10,1,INE116G01013,10
VARDMNPOLY,Vardhman Polytex Limited,BE,12-MAY-2003,10,1,INE835A01011,10
VARROC,Varroc Engineering Limited,EQ,06-JUL-2018,1,1,INE665L01035,1
VASCONEQ,Vascon Engineers Limited,EQ,15-FEB-2010,10,1,INE893I01013,10
VASWANI,Vaswani Industries Limited,BE,20-SEP-2011,10,1,INE590L01019,10
VBL,Varun Beverages Limited,EQ,08-NOV-2016,5,1,INE200M01021,5
VEDL,Vedanta Limited,EQ,13-MAY-1998,1,1,INE205A01025,1
VENKEYS,Venky's (India) Limited,EQ,28-JUL-2003,10,1,INE398A01010,10
VENUSPIPES,Venus Pipes & Tubes Limited,EQ,24-MAY-2022,10,1,INE0JA001018,10
VENUSREM,Venus Remedies Limited,EQ,20-DEC-2006,10,1,INE411B01019,10
VERANDA,Veranda Learning Solutions Limited,EQ,11-APR-2022,10,1,INE0IQ001011,10
VERTOZ,Vertoz Advertising Limited,BE,14-MAY-2020,10,1,INE188Y01015,10
VESUVIUS,Vesuvius India Limited,EQ,04-OCT-2002,10,1,INE386A01015,10
VETO,Veto Switchgears And Cables Limited,EQ,29-APR-2015,10,1,INE918N01018,10
VGUARD,V-Guard Industries Limited,EQ,13-MAR-2008,1,1,INE951I01027,1
VHL,Vardhman Holdings Limited,EQ,30-JUN-2005,10,1,INE701A01023,10
VIDHIING,Vidhi Specialty Food Ingredients Limited,EQ,02-MAR-2016,1,1,INE632C01026,1
VIJAYA,Vijaya Diagnostic Centre Limited,EQ,14-SEP-2021,1,1,INE043W01024,1
VIJIFIN,Viji Finance Limited,BE,11-JUL-2016,1,1,INE159N01027,1
VIKASECO,Vikas EcoTech Limited,EQ,12-DEC-2011,1,1,INE806A01020,1
VIKASLIFE,Vikas Lifecare Limited,BE,08-MAY-2019,1,1,INE161L01027,1
VIMTALABS,Vimta Labs Limited,EQ,15-DEC-2005,2,1,INE579C01029,2
VINATIORGA,Vinati Organics Limited,EQ,28-JUL-2009,1,1,INE410B01037,1
VINDHYATEL,Vindhya Telelinks Limited,EQ,08-FEB-1995,10,1,INE707A01012,10
VINEETLAB,Vineet Laboratories Limited,BE,15-JUN-2021,10,1,INE505Y01010,10
VINNY,Vinny Overseas Limited,BE,28-NOV-2022,1,1,INE01KI01027,1
VINYLINDIA,Vinyl Chemicals (India) Limited,EQ,21-JUL-2008,1,1,INE250B01029,1
VIPCLOTHNG,VIP Clothing Limited,EQ,06-AUG-2007,2,1,INE450G01024,2
VIPIND,VIP Industries Limited,EQ,02-MAR-2005,2,1,INE054A01027,2
VIPULLTD,Vipul Limited,BE,23-APR-2015,1,1,INE946H01037,1
VIRINCHI,Virinchi Limited,EQ,03-MAY-2023,10,1,INE539B01017,10
VISAKAIND,Visaka Industries Limited,EQ,28-AUG-1996,2,1,INE392A01021,2
VISHNU,Vishnu Chemicals Limited,EQ,05-MAR-2015,2,1,INE270I01022,2
VISHWARAJ,Vishwaraj Sugar Industries Limited,EQ,15-OCT-2019,2,1,INE430N01022,2
VIVIDHA,Visagar Polytex Limited,BE,21-MAY-2013,1,1,INE370E01029,1
VLEGOV,VL E-Governance & IT Solutions Limited,BE,14-AUG-2023,10,1,INE03HW01020,10
VLSFINANCE,VLS Finance Limited,EQ,25-MAY-1995,10,1,INE709A01018,10
VMART,V-Mart Retail Limited,EQ,20-FEB-2013,10,1,INE665J01013,10
VOLTAMP,Voltamp Transformers Limited,EQ,20-SEP-2006,10,1,INE540H01012,10
VOLTAS,Voltas Limited,EQ,12-APR-1995,1,1,INE226A01021,1
VPRPL,Vishnu Prakash R Punglia Limited,EQ,05-SEP-2023,10,1,INE0AE001013,10
VRLLOG,VRL Logistics Limited,EQ,30-APR-2015,10,1,INE366I01010,10
VSSL,Vardhman Special Steels Limited,EQ,17-MAY-2012,10,1,INE050M01012,10
VSTIND,VST Industries Limited,EQ,05-SEP-2003,10,1,INE710A01016,10
VSTL,Vibhor Steel Tubes Limited,EQ,20-FEB-2024,10,1,INE0QTF01015,10
VSTTILLERS,V.S.T Tillers Tractors Limited,EQ,20-JUN-2011,10,1,INE764D01017,10
VTL,Vardhman Textiles Limited,EQ,14-JAN-2003,2,1,INE825A01020,2
WABAG,VA Tech Wabag Limited,EQ,13-OCT-2010,2,1,INE956G01038,2
