SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
HMVL,Hindustan Media Ventures Limited,EQ,21-JUL-2010,10,1,INE871K01015,10
HNDFDS,Hindustan Foods Limited,EQ,06-JUN-2023,2,1,INE254N01026,2
HOMEFIRST,Home First Finance Company India Limited,EQ,03-FEB-2021,2,1,INE481N01025,2
HONASA,Honasa Consumer Limited,EQ,07-NOV-2023,10,1,INE0J5401028,10
HONAUT,Honeywell Automation India Limited,EQ,18-JUL-2003,10,1,INE671A01010,10
HONDAPOWER,Honda India Power Products Limited,EQ,01-APR-2003,10,1,INE634A01018,10
HOVS,HOV Services Limited,EQ,27-SEP-2006,10,1,INE596H01014,10
HPAL,HP Adhesives Limited,EQ,27-DEC-2021,2,1,INE0GSL01024,2
HPIL,Hindprakash Industries Limited,BE,07-NOV-2022,10,1,INE05X901010,10
HPL,HPL Electric & Power Limited,EQ,04-OCT-2016,10,1,INE495S01016,10
HSCL,Himadri Speciality Chemical Limited,EQ,02-MAR-2007,1,1,INE019C01026,1
HTMEDIA,HT Media Limited,EQ,01-SEP-2005,2,1,INE501G01024,2
HUBTOWN,Hubtown Limited,BE,07-FEB-2007,10,1,INE703H01016,10
HUDCO,Housing & Urban Development Corporation Limited,EQ,19-MAY-2017,10,1,INE031A01017,10
HUHTAMAKI,Huhtamaki India Limited,EQ,01-OCT-2004,2,1,INE275B01026,2
HYBRIDFIN,Hybrid Financial Services Limited,BE,05-DEC-2022,5,1,INE965B01022,5
IBREALEST,Indiabulls Real Estate Limited,EQ,23-MAR-2007,2,1,INE069I01010,2
IBULHSGFIN,Indiabulls Housing Finance Limited,EQ,23-JUL-2013,2,1,INE148I01020,2
ICDSLTD,ICDS Limited,BE,17-NOV-1999,10,1,INE613B01010,10
ICEMAKE,Ice Make Refrigeration Limited,EQ,12-OCT-2020,10,1,INE520Y01019,10
ICICIBANK,ICICI Bank Limited,EQ,17-SEP-1997,2,1,INE090A01021,2
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,27-SEP-2017,10,1,INE765G01017,10
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,29-SEP-2016,10,1,INE726G01019,10
ICIL,Indo Count Industries Limited,EQ,12-SEP-2005,2,1,INE483B01026,2
ICRA,ICRA Limited,EQ,13-APR-2007,10,1,INE725G01011,10
IDBI,IDBI Bank Limited,EQ,20-SEP-1995,10,1,INE008A01015,10
IDEA,Vodafone Idea Limited,EQ,09-MAR-2007,10,1,INE669E01016,10
IDEAFORGE,Ideaforge Technology Limited,EQ,07-JUL-2023,10,1,INE349Y01013,10
