SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
CASTROLIND,Castrol India Limited,EQ,14-MAR-2014,5,1,INE172A01027,5
CCHHL,Country Club Hospitality & Holidays Limited,BE,03-FEB-2015,2,1,INE652F01027,2
CCL,CCL Products (India) Limited,EQ,07-JUN-2004,2,1,INE421D01022,2
CDSL,Central Depository Services (India) Limited,EQ,30-JUN-2017,10,1,INE736A01011,10
CEATLTD,CEAT Limited,EQ,01-FEB-2008,10,1,INE482A01020,10
CELEBRITY,Celebrity Fashions Limited,EQ,12-JAN-2006,10,1,INE185H01016,10
CELLO,Cello World Limited,EQ,06-NOV-2023,5,1,INE0LMW01024,5
CENTENKA,Century Enka Limited,EQ,10-MAY-1995,10,1,INE485A01015,10
CENTEXT,Century Extrusions Limited,BE,20-JUL-2004,1,1,INE281A01026,1
CENTRALBK,Central Bank of India,EQ,21-AUG-2007,10,1,INE483A01010,10
CENTRUM,Centrum Capital Limited,EQ,04-APR-2018,1,1,INE660C01027,1
CENTUM,Centum Electronics Limited,EQ,05-OCT-2007,10,1,INE320B01020,10
CENTURYPLY,Century Plyboards (India) Limited,EQ,23-MAR-2006,1,1,INE348B01021,1
CENTURYTEX,Century Textiles & Industries Limited,EQ,27-JUN-2003,10,1,INE055A01016,10
CERA,Cera Sanitaryware Limited,EQ,02-NOV-2007,5,1,INE739E01017,5
CEREBRAINT,Cerebra Integrated Technologies Limited,BE,26-JUN-2013,10,1,INE345B01019,10
CESC,CESC Limited,EQ,08-FEB-1995,1,1,INE486A01021,1
CGCL,Capri Global Capital Limited,EQ,29-OCT-2010,1,1,INE180C01042,1
CGPOWER,CG Power and Industrial Solutions Limited,EQ,01-MAR-1995,2,1,INE067A01029,2
CHALET,Chalet Hotels Limited,EQ,07-FEB-2019,10,1,INE427F01016,10
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-JUN-1995,10,1,INE085A01013,10
CHEMBOND,Chembond Chemicals Ltd,EQ,20-NOV-2019,5,1,INE995D01025,5
CHEMCON,Chemcon Speciality Chemicals Limited,EQ,01-OCT-2020,10,1,INE03YM01018,10
CHEMFAB,Chemfab Alkalis Limited,EQ,25-APR-2018,10,1,INE783X01023,10
CHEMPLASTS,Chemplast Sanmar Limited,EQ,24-AUG-2021,5,1,INE488A01050,5
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,07-JUN-2000,10,1,INE178A01016,10
CHEVIOT,Cheviot Company Limited,EQ,20-JUN-2022,10,1,INE974B01016,10
CHOICEIN,Choice International Limited,EQ,08-APR-2022,10,1,INE102B01014,10
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-MAY-1996,2,1,INE121A01024,2
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-SEP-2017,1,1,INE149A01033,1
CIEINDIA,CIE Automotive India Limited,EQ,30-AUG-2007,10,1,INE536H01010,10
CIGNITITEC,Cigniti Technologies Limited,EQ,13-OCT-2014,10,1,INE675C01017,10
CINELINE,Cineline India Limited,EQ,13-JUN-2012,5,1,INE704H01022,5
CINEVISTA,Cinevista Limited,EQ,02-MAY-2000,2,1,INE039B01026,2
CIPLA,Cipla Limited,EQ,08-FEB-1995,2,1,INE059A01026,2
CLEAN,Clean Science and Technology Limited,EQ,19-JUL-2021,1,1,INE227W01023,1
CLEDUCATE,CL Educate Limited,EQ,31-MAR-2017,5,1,INE201M01029,5
CLSEL,Chaman Lal Setia Exports Limited,EQ,12-MAY-2021,2,1,INE419D01026,2
CMSINFO,CMS Info Systems Limited,EQ,31-DEC-2021,10,1,INE925R01014,10
COALINDIA,Coal India Limited,EQ,04-NOV-2010,10,1,INE522F01014,10
COASTCORP,Coastal Corporation Limited,EQ,08-OCT-2021,10,1,INE377E01016,10
COCHINSHIP,Cochin Shipyard Limited,EQ,11-AUG-2017,5,1,INE704P01025,5
COFFEEDAY,Coffee Day Enterprises Limited,EQ,02-NOV-2015,10,1,INE335K01011,10
COFORGE,Coforge Limited,EQ,30-AUG-2004,10,1,INE591G01017,10
COLPAL,Colgate Palmolive (India) Limited,EQ,17-DEC-2007,1,1,INE259A01022,1
COMPUSOFT,Compucom Software Limited,EQ,02-MAR-2012,2,1,INE453B01029,2
COMSYN,Commercial Syn Bags Limited,EQ,23-JAN-2024,10,1,INE073V01015,10
CONCOR,Container Corporation of India Limited,EQ,07-MAY-1997,5,1,INE111A01025,5
CONCORDBIO,Concord Biotech Limited,EQ,18-AUG-2023,1,1,INE338H01029,1
CONFIPET,Confidence Petroleum India Limited,EQ,13-JUN-2019,1,1,INE552D01024,1
CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,29-MAR-2005,10,1,INE025A01027,10
CONTROLPR,Control Print Limited,EQ,24-JUN-2016,10,1,INE663B01015,10
CORALFINAC,Coral India Finance & Housing Limited,BE,25-MAR-1996,2,1,INE558D01021,2
CORDSCABLE,Cords Cable Industries Limited,BE,13-FEB-2008,10,1,INE792I01017,10
COROMANDEL,Coromandel International Limited,EQ,31-MAY-1995,1,1,INE169A01031,1
COSMOFIRST,COSMO FIRST LIMITED,EQ,25-MAY-1995,10,1,INE757A01017,10
COUNCODOS,Country Condo's Limited,EQ,22-JAN-2009,1,1,INE695B01025,1
CRAFTSMAN,Craftsman Automation Limited,EQ,25-MAR-2021,5,1,INE00LO01017,5
CREATIVE,Creative Newtech Limited,EQ,05-AUG-2019,10,1,INE985W01018,10
CREATIVEYE,Creative Eye Limited,BE,20-DEC-2000,5,1,INE230B01021,5
