SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
KFINTECH,Kfin Technologies Limited,EQ,29-DEC-2022,10,1,INE138Y01010,10
KHADIM,Khadim India Limited,EQ,14-NOV-2017,10,1,INE834I01025,10
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,EQ,30-OCT-2020,1,1,INE745B01028,1
KHAITANLTD,Khaitan (India) Limited,EQ,20-DEC-1995,10,1,INE731C01018,10
KHANDSE,Khandwala Securities Limited,EQ,07-FEB-2001,10,1,INE060B01014,10
KICL,Kalyani Investment Company Limited,EQ,14-JAN-2011,10,1,INE029L01018,10
KILITCH,Kilitch Drugs (India) Limited,EQ,29-SEP-2010,10,1,INE729D01010,10
KIMS,Krishna Institute of Medical Sciences Limited,EQ,28-JUN-2021,10,1,INE967H01017,10
KINGFA,Kingfa Science & Technology (India) Limited,EQ,15-NOV-2016,10,1,INE473D01015,10
KIOCL,KIOCL Limited,EQ,29-NOV-2016,10,1,INE880L01014,10
KIRIINDUS,Kiri Industries Limited,EQ,22-APR-2008,10,1,INE415I01015,10
KIRLOSBROS,Kirloskar Brothers Limited,EQ,20-APR-2010,2,1,INE732A01036,2
KIRLOSENG,Kirloskar Oil Engines Limited,EQ,24-DEC-2010,2,1,INE146L01010,2
KIRLOSIND,Kirloskar Industries Limited,EQ,24-JUN-2010,10,1,INE250A01039,10
KIRLPNU,Kirloskar Pneumatic Company Limited,EQ,26-APR-2023,2,1,INE811A01020,2
KITEX,Kitex Garments Limited,EQ,25-SEP-2012,1,1,INE602G01020,1
KKCL,Kewal Kiran Clothing Limited,EQ,13-APR-2006,10,1,INE401H01017,10
KMSUGAR,K.M.Sugar Mills Limited,EQ,31-MAY-2007,2,1,INE157H01023,2
KNRCON,KNR Constructions Limited,EQ,18-FEB-2008,2,1,INE634I01029,2
KOHINOOR,Kohinoor Foods Limited,EQ,20-OCT-1999,10,1,INE080B01012,10
KOKUYOCMLN,Kokuyo Camlin Limited,EQ,28-JUL-2008,1,1,INE760A01029,1
KOLTEPATIL,Kolte - Patil Developers Limited,EQ,13-DEC-2007,10,1,INE094I01018,10
KOPRAN,Kopran Limited,EQ,09-JUN-1999,10,1,INE082A01010,10
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,20-DEC-1995,5,1,INE237A01028,5
KOTARISUG,Kothari Sugars And Chemicals Limited,EQ,13-DEC-2004,10,1,INE419A01022,10
KOTHARIPET,Kothari Petrochemicals Limited,EQ,02-NOV-1996,10,1,INE720A01015,10
KOTHARIPRO,Kothari Products Limited,EQ,03-JUN-1998,10,1,INE823A01017,10
KPIGREEN,KPI Green Energy Limited,EQ,27-JUL-2021,10,1,INE542W01017,10
KPIL,Kalpataru Projects International Limited,EQ,15-DEC-2000,2,1,INE220B01022,2
KPITTECH,KPIT Technologies Limited,EQ,22-APR-2019,10,1,INE04I401011,10
KPRMILL,K.P.R. Mill Limited,EQ,28-AUG-2007,1,1,INE930H01031,1
KRBL,KRBL Limited,EQ,21-JAN-2002,1,1,INE001B01026,1
KREBSBIO,Krebs Biochemicals and Industries Limited,EQ,03-JAN-1996,10,1,INE268B01013,10
KRIDHANINF,Kridhan Infra Limited,BE,11-DEC-2015,2,1,INE524L01026,2
KRISHANA,Krishana Phoschem Limited,EQ,22-AUG-2019,10,1,INE506W01012,10
KRITI,Kriti Industries (India) Limited,EQ,01-NOV-2021,1,1,INE479D01038,1
KRITIKA,Kritika Wires Limited,BE,04-MAY-2022,2,1,INE00Z501029,2
KRITINUT,Kriti Nutrients Limited,EQ,07-OCT-2022,1,1,INE798K01010,1
KRSNAA,Krsnaa Diagnostics Limited,EQ,16-AUG-2021,5,1,INE08LI01020,5
KRYSTAL,Krystal Integrated Services Limited,EQ,21-MAR-2024,10,1,INE0QN801017,10
