SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
20MICRONS,20 Microns Limited,EQ,06-OCT-2008,5,1,INE144J01027,5
21STCENMGM,21st Century Management Services Limited,BE,03-MAY-1995,10,1,INE253B01015,10
360ONE,360 ONE WAM LIMITED,EQ,19-SEP-2019,1,1,INE466L01038,1
3IINFOLTD,3i Infotech Limited,EQ,22-OCT-2021,10,1,INE748C01038,10
3MINDIA,3M India Limited,EQ,13-AUG-2004,10,1,INE470A01017,10
3PLAND,3P Land Holdings Limited,BE,19-JUL-1995,2,1,INE105C01023,2
5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017,10,1,INE618L01018,10
63MOONS,63 moons technologies limited,EQ,20-JUN-2005,2,1,INE111B01023,2
A2ZINFRA,A2Z Infra Engineering Limited,BE,23-DEC-2010,10,1,INE619I01012,10
AAATECH,AAA Technologies Limited,EQ,28-NOV-2022,10,1,INE0D0U01013,10
AAKASH,Aakash Exploration Services Limited,EQ,29-SEP-2020,1,1,INE087Z01024,1
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,BE,06-AUG-2021,10,1,INE198H01019,10
AARON,Aaron Industries Limited,EQ,06-NOV-2020,10,1,INE721Z01010,10
AARTECH,Aartech Solonics Limited,EQ,10-JUL-2023,10,1,INE01C001018,10
AARTIDRUGS,Aarti Drugs Limited,EQ,19-SEP-2003,10,1,INE767A01016,10
AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,5,1,INE769A01020,5
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-JAN-2023,5,1,INE0LRU01027,5
AARTISURF,Aarti Surfactants Limited,EQ,14-JUL-2020,10,1,INE09EO01013,10
AARVEEDEN,Aarvee Denims & Exports Limited,EQ,21-NOV-2006,10,1,INE273D01019,10
AARVI,Aarvi Encon Limited,EQ,24-JUN-2020,10,1,INE754X01016,10
AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018,10,1,INE216P01012,10
ABAN,Aban Offshore Limited,BE,29-MAR-1995,2,1,INE421A01028,2
ABB,ABB India Limited,EQ,08-FEB-1995,2,1,INE117A01022,2
ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,10,1,INE358A01014,10
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017,10,1,INE674K01013,10
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10,1,INE647O01011,10
ABMINTLLTD,ABM International Limited,EQ,09-SEP-2021,10,1,INE251C01025,10
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021,5,1,INE404A01024,5
ACC,ACC Limited,EQ,20-NOV-1996,10,1,INE012A01025,10
ACCELYA,Accelya Solutions India Limited,EQ,01-DEC-1999,10,1,INE793A01012,10
ACCURACY,Accuracy Shipping Limited,BE,11-DEC-2020,1,1,INE648Z01023,1
ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,2,1,INE731H01025,2
ACEINTEG,Ace Integrated Solutions Limited,EQ,04-NOV-2022,10,1,INE543V01017,10
ACI,Archean Chemical Industries Limited,EQ,21-NOV-2022,2,1,INE128X01021,2
ACL,Andhra Cements Limited,EQ,10-MAY-2023,10,1,INE666E01020,10
ACLGATI,Allcargo Gati Limited,EQ,10-OCT-2006,2,1,INE152B01027,2
ADANIENSOL,Adani Energy Solutions Limited,EQ,31-JUL-2015,10,1,INE931S01010,10
ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1,1,INE423A01024,1
ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,10,1,INE364U01010,10
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2,1,INE742F01042,2
ADANIPOWER,Adani Power Limited,EQ,20-AUG-2009,10,1,INE814H01011,10
ADFFOODS,ADF Foods Limited,EQ,15-SEP-2010,2,1,INE982B01027,2
ADL,Archidply Decor Limited,EQ,01-OCT-2020,10,1,INE0CHO01012,10
ADORWELD,Ador Welding Limited,EQ,10-MAY-1995,10,1,INE045A01017,10
ADROITINFO,Adroit Infotech Limited,BE,13-AUG-1997,10,1,INE737B01033,10
ADSL,Allied Digital Services Limited,EQ,25-JUL-2007,5,1,INE102I01027,5
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-JUN-2007,2,1,INE199C01026,2
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016,2,1,INE837H01020,2
AEGISCHEM,Aegis Logistics Limited,EQ,03-APR-1996,1,1,INE208C01025,1
AEROFLEX,Aeroflex Industries Limited,EQ,31-AUG-2023,2,1,INE024001021,2
AETHER,Aether Industries Limited,EQ,03-JUN-2022,10,1,INE0BWX01014,10
AFFLE,Affle (India) Limited,EQ,08-AUG-2019,2,1,INE00WC01027,2
AGARIND,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014,10,1,INE204E01012,10
AGI,AGI Greenpac Limited,EQ,31-MAY-2000,2,1,INE415A01038,2
AGRITECH,Agri-Tech (India) Limited,EQ,28-JAN-2014,10,1,INE449G01018,10
AGROPHOS,Agro Phos India Limited,EQ,08-MAR-2019,10,1,INE740V01019,10
AGSTRA,AGS Transact Technologies Limited,BE,31-JAN-2022,10,1,INE583L01014,10
AHL,Abans Holdings Limited,EQ,23-DEC-2022,2,1,INE00ZE01026,2
AHLADA,Ahlada Engineers Limited,EQ,28-JAN-2021,10,1,INE00PV01013,10
AHLEAST,Asian Hotels (East) Limited,EQ,11-AUG-2010,10,1,INE926K01017,10
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009,2,1,INE758C01029,2
AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,2,1,INE212H01026,2
AIRAN,Airan Limited,BE,03-MAY-2019,2,1,INE645W01026,2
AIROLAM,Airo Lam limited,EQ,13-OCT-2021,10,1,INE801L01010,10
AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,2,1,INE031B01049,2
AJMERA,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009,10,1,INE298G01027,10
AJOONI,Ajooni Biotech Limited,EQ,07-MAY-2021,2,1,INE820Y01021,2
AKASH,Akash Infra-Projects Limited,EQ,11-OCT-2019,10,1,INE737W01013,10
AKG,Akg Exim Limited,EQ,16-FEB-2021,10,1,INE00Y801016,10
AKI,AKI India Limited,BE,06-APR-2023,2,1,INE642Z01026,2
AKSHAR,Akshar Spintex Limited,BE,23-MAY-2022,1,1,INE256Z01025,1
AKSHARCHEM,AksharChem India Limited,BE,28-MAR-2017,10,1,INE542B01011,10
AKSHOPTFBR,Aksh Optifibre Limited,BE,18-AUG-2000,5,1,INE523B01011,5
AKZOINDIA,Akzo Nobel India Limited,EQ,28-JUN-2001,10,1,INE133A01011,10
ALANKIT,Alankit Limited,BE,30-JUN-2015,1,1,INE914E01040,1
ALBERTDAVD,Albert David Limited,EQ,14-JUN-2016,10,1,INE155C01010,10
ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2,1,INE426A01027,2
ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,5,1,INE062D01024,5
ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,10,1,INE773I01017,10
ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2,1,INE540L01014,2
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,2,1,INE150B01039,2
ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2,1,INE418H01029,2
ALLSEC,Allsec Technologies Limited,EQ,09-MAY-2005,10,1,INE835G01018,10
ALMONDZ,Almondz Global Securities Limited,BE,16-JUN-2008,6,1,INE326B01027,6
ALOKINDS,Alok Industries Limited,BE,19-FEB-2020,1,1,INE270A01029,1
ALPA,Alpa Laboratories Limited,EQ,06-AUG-2007,10,1,INE385I01010,10
ALPHAGEO,Alphageo (India) Limited,EQ,11-MAY-2007,10,1,INE137C01018,10
ALPSINDUS,Alps Industries Limited,BE,24-APR-1996,10,1,INE093B01015,10
AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018,10,1,INE371P01015,10
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-JUN-2004,10,1,INE792B01012,10
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-JAN-2008,10,1,INE540G01014,10
AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,2,1,INE079A01024,2
AMDIND,AMD Industries Limited,EQ,19-MAR-2007,10,1,INE005I01014,10
AMIORG,Ami Organics Limited,EQ,14-SEP-2021,10,1,INE00FF01017,10
AMJLAND,Amj Land Holdings Limited,EQ,08-FEB-1995,2,1,INE606A01024,2
AMNPLST,Amines & Plasticizers Limited,EQ,10-NOV-2023,2,1,INE275D01022,2
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-JAN-2015,1,1,INE098F01031,1
ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-DEC-2021,5,1,INE463V01026,5
ANANTRAJ,Anant Raj Limited,EQ,27-SEP-2006,2,1,INE242C01024,2
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-MAY-2004,10,1,INE435A01028,10
ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-NOV-1995,2,1,INE715B01021,2
ANGELONE,Angel One Limited,EQ,05-OCT-2020,10,1,INE732I01013,10
ANIKINDS,Anik Industries Limited,EQ,21-MAY-2008,10,1,INE087B01017,10
ANKITMETAL,Ankit Metal & Power Limited,EQ,14-MAR-2013,10,1,INE106I01010,10
