SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
STARCEMENT,Star Cement Limited,EQ,16-JUN-2017,1,1,INE460H01021,1
STARHEALTH,Star Health and Allied Insurance Company Limited,EQ,10-DEC-2021,10,1,INE575P01011,10
STARPAPER,Star Paper Mills Limited,EQ,13-SEP-1995,10,1,INE733A01018,10
STARTECK,Starteck Finance Limited,BE,04-MAY-2022,10,1,INE992I01013,10
STCINDIA,The State Trading Corporation of India Limited,EQ,01-APR-2003,10,1,INE655A01013,10
STEELCAS,Steelcast Limited,EQ,23-NOV-2021,5,1,INE124E01020,5
STEELCITY,Steel City Securities Limited,EQ,27-JUN-2019,10,1,INE395H01011,10
STEELXIND,STEEL EXCHANGE INDIA LIMITED,EQ,20-JUL-2017,1,1,INE503B01021,1
STEL,Stel Holdings Limited,EQ,09-FEB-2011,10,1,INE577L01016,10
STERTOOLS,Sterling Tools Limited,EQ,02-FEB-2006,2,1,INE334A01023,2
STLTECH,Sterlite Technologies Limited,EQ,08-DEC-2000,2,1,INE089C01029,2
STOVEKRAFT,Stove Kraft Limited,EQ,05-FEB-2021,10,1,INE00IN01015,10
STYLAMIND,Stylam Industries Limited,EQ,02-AUG-2021,5,1,INE239C01020,5
STYRENIX,Styrenix Performance Materials Limited,EQ,29-MAR-1995,10,1,INE189B01011,10
SUBEXLTD,Subex Limited,EQ,05-NOV-2020,5,1,INE754A01055,5
SUBROS,Subros Limited,EQ,13-JUL-2005,2,1,INE287B01021,2
SUDARSCHEM,Sudarshan Chemical Industries Limited,EQ,25-MAY-1995,2,1,INE659A01023,2
SUKHJITS,Sukhjit Starch & Chemicals Limited,EQ,07-NOV-2022,10,1,INE450E01011,10
SULA,Sula Vineyards Limited,EQ,22-DEC-2022,2,1,INE142Q01026,2
SUMEETINDS,Sumeet Industries Limited,BE,10-DEC-2010,10,1,INE235C01010,10
SUMICHEM,Sumitomo Chemical India Limited,EQ,27-JAN-2020,10,1,INE258G01013,10
SUMIT,Sumit Woods Limited,BE,30-JUL-2019,10,1,INE748Z01013,10
SUMMITSEC,Summit Securities Limited,EQ,28-JAN-2011,10,1,INE519C01017,10
SUNCLAY,Sundaram Clayton Limited,EQ,29-DEC-2023,5,1,INE0Q3R01026,5
SUNDARAM,Sundaram Multi Pap Limited,EQ,02-JUN-2010,1,1,INE108E01023,1
SUNDARMFIN,Sundaram Finance Limited,EQ,07-JAN-1998,10,1,INE660A01013,10
SUNDARMHLD,Sundaram Finance Holdings Limited,EQ,26-MAR-2018,5,1,INE202Z01029,5
SUNDRMBRAK,Sundaram Brake Linings Limited,EQ,17-JUL-1996,10,1,INE073D01013,10
SUNDRMFAST,Sundram Fasteners Limited,EQ,07-JUN-2000,1,1,INE387A01021,1
SUNFLAG,Sunflag Iron And Steel Company Limited,EQ,29-SEP-2005,10,1,INE947A01014,10
SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,08-FEB-1995,1,1,INE044A01036,1
SUNTECK,Sunteck Realty Limited,EQ,13-NOV-2009,1,1,INE805D01034,1
SUNTV,Sun TV Network Limited,EQ,24-APR-2006,5,1,INE424H01027,5
SUPERHOUSE,Superhouse Limited,EQ,26-SEP-2014,10,1,INE712B01010,10
SUPERSPIN,Super Spinning Mills Limited,BE,08-JUL-2004,1,1,INE662A01027,1
SUPRAJIT,Suprajit Engineering Limited,EQ,18-FEB-2005,1,1,INE399C01030,1
SUPREMEENG,Supreme Engineering Limited,BE,04-DEC-2020,1,1,INE319Z01021,1
SUPREMEIND,Supreme Industries Limited,EQ,19-JUL-1995,2,1,INE195A01028,2
SUPREMEINF,Supreme Infrastructure India Limited,BZ,18-OCT-2007,10,1,INE550H01011,10
SUPRIYA,Supriya Lifescience Limited,EQ,28-DEC-2021,2,1,INE07RO01027,2
SURAJEST,Suraj Estate Developers Limited,EQ,26-DEC-2023,5,1,INE843S01025,5
SURANASOL,Surana Solar Limited,EQ,07-JAN-2011,5,1,INE272L01022,5
SURANAT&P,Surana Telecom and Power Limited,BE,22-MAY-2002,1,1,INE130B01031,1
SURYALAXMI,Suryalakshmi Cotton Mills Limited,EQ,15-JUN-2005,10,1,INE713B01026,10
SURYAROSNI,Surya Roshni Limited,EQ,10-MAY-1995,5,1,INE335A01020,5
SURYODAY,Suryoday Small Finance Bank Limited,EQ,26-MAR-2021,10,1,INE428Q01011,10
SUTLEJTEX,Sutlej Textiles and Industries Limited,EQ,14-DEC-2006,1,1,INE645H01027,1
SUULD,Suumaya Industries Limited,EQ,19-OCT-2020,10,1,INE591Q01016,10
SUVEN,Suven Life Sciences Limited,BE,23-OCT-2003,1,1,INE495B01038,1
