SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
TEXRAIL,Texmaco Rail & Engineering Limited,EQ,03-MAR-2011,1,1,INE621L01012,1
TFCILTD,Tourism Finance Corporation of India Limited,EQ,26-JUL-2000,10,1,INE305A01015,10
TFL,Transwarranty Finance Limited,EQ,26-FEB-2007,10,1,INE804H01012,10
TGBHOTELS,TGB Banquets And Hotels Limited,EQ,17-MAY-2007,10,1,INE797H01018,10
THANGAMAYL,Thangamayil Jewellery Limited,EQ,19-FEB-2010,10,1,INE085J01014,10
THEINVEST,The Investment Trust Of India Limited,BE,02-AUG-2017,10,1,INE924D01017,10
THEJO,Thejo Engineering Limited,EQ,10-OCT-2023,10,1,INE121N01019,10
THEMISMED,Themis Medicare Limited,EQ,02-APR-2007,1,1,INE083B01024,1
THERMAX,Thermax Limited,EQ,30-AUG-1995,2,1,INE152A01029,2
THOMASCOOK,Thomas Cook  (India)  Limited,EQ,07-JUN-2000,1,1,INE332A01027,1
THOMASCOTT,Thomas Scott (India) Limited,BE,30-JAN-2012,10,1,INE480M01011,10
THYROCARE,Thyrocare Technologies Limited,EQ,09-MAY-2016,10,1,INE594H01019,10
TI,Tilaknagar Industries Limited,EQ,16-JUL-2010,10,1,INE133E01013,10
TIDEWATER,Tide Water Oil Company (India) Limited,EQ,16-JAN-2007,2,1,INE484C01030,2
TIIL,Technocraft Industries (India) Limited,EQ,12-FEB-2007,10,1,INE545H01011,10
TIINDIA,Tube Investments of India Limited,EQ,02-NOV-2017,1,1,INE974X01010,1
TIJARIA,Tijaria Polypipes Limited,BE,14-OCT-2011,10,1,INE440L01017,10
TIL,TIL Limited,BZ,27-SEP-1995,10,1,INE806C01018,10
TIMESGTY,Times Guaranty Limited,BE,11-JUN-2002,10,1,INE289C01025,10
TIMETECHNO,Time Technoplast Limited,EQ,13-JUN-2007,1,1,INE508G01029,1
TIMKEN,Timken India Limited,EQ,06-FEB-2007,10,1,INE325A01013,10
TIPSFILMS,Tips Films Limited,BE,06-OCT-2022,10,1,INE0LQS01015,10
TIPSINDLTD,TIPS Industries Limited,EQ,10-NOV-2000,1,1,INE716B01029,1
TIRUMALCHM,Thirumalai Chemicals Limited,EQ,14-MAY-2003,1,1,INE338A01024,1
TIRUPATIFL,Tirupati Forge Limited,EQ,04-AUG-2020,2,1,INE319Y01024,2
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,EQ,21-APR-2008,2,1,INE615H01020,2
TITAN,Titan Company Limited,EQ,24-SEP-2004,1,1,INE280A01028,1
TMB,Tamilnad Mercantile Bank Limited,EQ,15-SEP-2022,10,1,INE668A01016,10
TNPETRO,Tamilnadu PetroProducts Limited,EQ,27-OCT-1999,10,1,INE148A01019,10
TNPL,Tamil Nadu Newsprint & Papers Limited,EQ,14-FEB-1996,10,1,INE107A01015,10
TNTELE,Tamilnadu Telecommunication Limited,BE,04-FEB-2003,10,1,INE141D01018,10
TOKYOPLAST,Tokyo Plast International Limited,EQ,11-OCT-1995,10,1,INE932C01012,10
TORNTPHARM,Torrent Pharmaceuticals Limited,EQ,25-NOV-2002,5,1,INE685A01028,5
TORNTPOWER,Torrent Power Limited,EQ,28-NOV-2006,10,1,INE813H01021,10
TOTAL,Total Transport Systems Limited,EQ,28-AUG-2020,10,1,INE336X01012,10
TOUCHWOOD,Touchwood Entertainment Limited,EQ,21-JAN-2020,10,1,INE486Y01013,10
TPHQ,Teamo Productions HQ Limited,BE,30-JAN-2009,1,1,INE065J01024,1
TPLPLASTEH,TPL Plastech Limited,EQ,20-MAY-2015,2,1,INE413G01022,2
TRACXN,Tracxn Technologies Limited,EQ,20-OCT-2022,1,1,INE0HMF01019,1
TREEHOUSE,Tree House Education & Accessories Limited,BE,26-AUG-2011,10,1,INE040M01013,10
TREJHARA,TREJHARA SOLUTIONS LIMITED,BE,28-DEC-2018,10,1,INE00CA01015,10
TREL,Transindia Real Estate Limited,EQ,10-AUG-2023,2,1,INE0O3901029,2
TRENT,Trent Limited,EQ,07-JUN-2004,1,1,INE849A01020,1
TRF,TRF Limited,BE,26-MAR-2010,10,1,INE391D01019,10
TRIDENT,Trident Limited,EQ,21-FEB-2001,1,1,INE064C01022,1
TRIGYN,Trigyn Technologies Limited,EQ,09-APR-1998,10,1,INE948A01012,10
TRIL,Transformers And Rectifiers (India) Limited,BE,28-DEC-2007,1,1,INE763I01026,1
TRITURBINE,Triveni Turbine Limited,EQ,28-OCT-2011,1,1,INE152M01016,1
TRIVENI,Triveni Engineering & Industries Limited,EQ,13-DEC-2005,1,1,INE256C01024,1
TRU,TruCap Finance Limited,EQ,20-JUN-2023,2,1,INE615R01029,2
TTKHLTCARE,TTK Healthcare Limited,EQ,02-DEC-2015,10,1,INE910C01018,10
TTKPRESTIG,TTK Prestige Limited,EQ,22-DEC-1999,1,1,INE690A01028,1
