SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
EXCEL,Excel Realty N Infra Limited,BE,03-AUG-2009,1,1,INE688J01023,1
EXCELINDUS,Excel Industries Limited,EQ,16-JUN-2004,5,1,INE369A01029,5
EXICOM,Exicom Tele-Systems Limited,EQ,05-MAR-2024,10,1,INE777F01014,10
EXIDEIND,Exide Industries Limited,EQ,17-JUN-2003,1,1,INE302A01020,1
EXPLEOSOL,Expleo Solutions Limited,EQ,26-OCT-2009,10,1,INE201K01015,10
EXXARO,Exxaro Tiles Limited,EQ,16-AUG-2021,10,1,INE0GFE01018,10
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-APR-1995,10,1,INE188A01015,10
FAIRCHEMOR,Fairchem Organics Limited,EQ,24-DEC-2020,10,1,INE0DNW01011,10
FAZE3Q,Faze Three Limited,EQ,18-NOV-2022,10,1,INE963C01033,10
FCL,Fineotex Chemical Limited,EQ,15-JAN-2015,2,1,INE045J01026,2
FCONSUMER,Future Consumer Limited,BE,04-JUL-2013,6,1,INE220J01025,6
FCSSOFT,FCS Software Solutions Limited,EQ,21-SEP-2005,1,1,INE512B01022,1
FDC,FDC Limited,EQ,07-AUG-1997,1,1,INE258B01022,1
FEDERALBNK,The Federal Bank  Limited,EQ,08-FEB-1995,2,1,INE171A01029,2
FEDFINA,Fedbank Financial Services Limited,EQ,30-NOV-2023,10,1,INE007N01010,10
FEL,Future Enterprises Limited,BZ,05-NOV-2001,2,1,INE623B01027,2
FELDVR,Future Enterprises Limited,BE,13-FEB-2009,2,1,IN9623B01058,2
FIBERWEB,Fiberweb (India) Limited,EQ,16-FEB-2022,10,1,INE296C01020,10
FIEMIND,Fiem Industries Limited,EQ,19-OCT-2006,10,1,INE737H01014,10
FILATEX,Filatex India Limited,EQ,29-AUG-2011,1,1,INE816B01035,1
FINCABLES,Finolex Cables Limited,EQ,15-FEB-1995,2,1,INE235A01022,2
FINEORG,Fine Organic Industries Limited,EQ,02-JUL-2018,5,1,INE686Y01026,5
FINOPB,Fino Payments Bank Limited,EQ,12-NOV-2021,10,1,INE02NC01014,10
FINPIPE,Finolex Industries Limited,EQ,08-FEB-1995,2,1,INE183A01024,2
FIVESTAR,Five-Star Business Finance Limited,EQ,21-NOV-2022,1,1,INE128S01021,1
FLAIR,Flair Writing Industries Limited,EQ,01-DEC-2023,5,1,INE00Y201027,5
FLEXITUFF,Flexituff Ventures International Limited,BE,19-OCT-2011,10,1,INE060J01017,10
FLFL,Future Lifestyle Fashions Limited,BZ,01-OCT-2013,2,1,INE452O01016,2
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-OCT-2019,1,1,INE09N301011,1
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-FEB-1995,10,1,INE529A01010,10
FMNL,Future Market Networks Limited,BE,31-DEC-2010,10,1,INE360L01017,10
FOCUS,Focus Lighting and Fixtures Limited,EQ,24-NOV-2021,2,1,INE593W01028,2
FOODSIN,Foods & Inns Limited,EQ,16-NOV-2021,1,1,INE976E01023,1
FORCEMOT,FORCE MOTORS LTD,EQ,14-FEB-2024,10,1,INE451A01017,10
FORTIS,Fortis Healthcare Limited,EQ,09-MAY-2007,10,1,INE061F01013,10
FOSECOIND,Foseco India Limited,EQ,05-MAY-2003,10,1,INE519A01011,10
FSC,Future Supply Chain Solutions Limited,BZ,18-DEC-2017,10,1,INE935Q01015,10
FSL,Firstsource Solutions Limited,EQ,22-FEB-2007,10,1,INE684F01012,10
FUSION,Fusion Micro Finance Limited,EQ,15-NOV-2022,10,1,INE139R01012,10
GABRIEL,Gabriel India Limited,EQ,20-APR-2005,1,1,INE524A01029,1
GAEL,Gujarat Ambuja Exports Limited,EQ,11-OCT-2000,1,1,INE036B01030,1
GAIL,GAIL (India) Limited,EQ,02-APR-1997,10,1,INE129A01019,10
GALAXYSURF,Galaxy Surfactants Limited,EQ,08-FEB-2018,10,1,INE600K01018,10
GALLANTT,Gallantt Ispat Limited,BE,04-APR-2006,10,1,INE297H01019,10
GANDHAR,Gandhar Oil Refinery (India) Limited,EQ,30-NOV-2023,2,1,INE717W01049,2
GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-JAN-2007,5,1,INE524B01027,5
GANECOS,Ganesha Ecosphere Limited,EQ,09-MAR-2015,10,1,INE845D01014,10
GANESHBE,Ganesh Benzoplast Limited,EQ,16-SEP-2021,1,1,INE388A01029,1
GANESHHOUC,Ganesh Housing Corporation Limited,EQ,02-MAR-2007,10,1,INE460C01014,10
GANGAFORGE,Ganga Forging Limited,BE,06-JUL-2021,1,1,INE691Z01023,1
GANGESSECU,Ganges Securities Limited,EQ,28-JUL-2017,10,1,INE335W01016,10
GARFIBRES,Garware Technical Fibres Limited,EQ,03-APR-2007,10,1,INE276A01018,10
GATECH,GACM Technologies Limited,BE,25-JUL-2016,1,1,INE224E01028,1
GATECHDVR,GACM Technologies Limited,BE,10-OCT-2017,1,1,INE224E01036,1
GATEWAY,Gateway Distriparks Limited,EQ,22-MAR-2022,10,1,INE079J01017,10
GAYAHWS,Gayatri Highways Limited,BE,28-JUN-2018,2,1,INE287Z01012,2
GEECEE,GeeCee Ventures Limited,EQ,04-OCT-2006,10,1,INE916G01016,10
GEEKAYWIRE,Geekay Wires Limited,EQ,06-MAR-2020,2,1,INE669X01024,2
GENCON,Generic Engineering Construction and Projects Limited,EQ,16-FEB-2021,5,1,INE854S01022,5
GENESYS,Genesys International Corporation Limited,EQ,23-JAN-2003,5,1,INE727B01026,5
GENSOL,Gensol Engineering Limited,EQ,03-JUL-2023,10,1,INE06H201014,10
GENUSPAPER,Genus Paper & Boards Limited,EQ,16-FEB-2015,1,1,INE949P01018,1
GENUSPOWER,Genus Power Infrastructures Limited,EQ,08-JUL-2005,1,1,INE955D01029,1
GEOJITFSL,Geojit Financial Services Limited,EQ,01-JUL-2005,1,1,INE007B01023,1
GEPIL,GE Power India Limited,EQ,19-APR-2000,10,1,INE878A01011,10
